"mean","t_ic_i","t_ic_s","median","w_ic_i","w_ic_s","count"
26.2958727280781,25.8594005881245,26.7323448680316,26.296762685499,25.8639275636251,26.7304596633897,452
26.9002162516392,26.4420814165067,27.3583510867717,27.0242606894177,26.5365043842298,27.507696144417,449
27.4161438710356,26.9632479370631,27.8690398050082,27.5259596402121,27.0655467117851,27.9930904804801,452
27.4790086204277,27.0491869881118,27.9088302527436,27.5741914057872,27.162929820238,27.9835522966397,451
28.1050870939422,27.6777312906591,28.5324428972253,28.1156197054568,27.7114582407579,28.5337455265316,410
28.3342824448303,27.9190485394449,28.7495163502158,28.3530692393047,27.9662243343234,28.7388525239465,389
28.6350645066273,28.2425542398164,29.0275747734382,28.6183529588786,28.2427912007605,29.0019472779351,374
28.9512467600361,28.5635639907713,29.3389295293009,28.9138663224666,28.5439852362908,29.2849144222637,363
29.1171241768907,28.725368328075,29.5088800257064,29.0732501201728,28.6883912136584,29.453406469983,356
29.058387059155,28.6662388441059,29.4505352742041,29.0427617573111,28.647866217553,29.4433096294371,351
29.2095537421097,28.8274650979334,29.591642386286,29.1678193314103,28.7939237029813,29.5487266451973,340
29.1674050212283,28.7691453075227,29.5656647349339,29.0781132204027,28.6952401827822,29.466341313463,332
29.1903126058822,28.817206215211,29.5634189965534,29.1210706856557,28.7503294596462,29.4887312410822,326
29.4432562604698,29.0735190341683,29.8129934867712,29.3617696070114,28.9950105646931,29.7223086541403,321
29.5218504085599,29.154757820778,29.8889429963417,29.4067783127957,29.0492572769164,29.7790767390216,314
29.5108511258232,29.1199556486148,29.9017466030315,29.4118507548755,29.043514604594,29.7780233533149,311
29.6011624562797,29.2111482700006,29.9911766425589,29.4763903139098,29.0932838546071,29.8605139940944,301
29.5102441811462,29.133942128319,29.8865462339733,29.4084845877658,29.0514058441829,29.7645233306459,299
29.4646850149493,29.0979500668209,29.8314199630777,29.3492053772259,28.9912174288677,29.7092482040866,294
29.5318754491781,29.161915286,29.9018356123562,29.490496215995,29.1378752058609,29.8518146730137,288
29.5913106739836,29.2140586370854,29.9685627108818,29.5470796886603,29.191690056336,29.9017776618804,281
29.6185019930551,29.2388882300268,29.9981157560834,29.5735497754195,29.2233495354456,29.930024176086,276
29.6560291944745,29.2756039458099,30.036454443139,29.6390740085789,29.2803332746232,29.9897855308884,274
29.7943507830824,29.4297478637666,30.1589537023982,29.7457522488501,29.3967405931175,30.1095739475356,267
29.860999659842,29.5036648121963,30.2183345074878,29.7879188976109,29.4365581764458,30.1588723551592,264
29.8819949299804,29.5132613258872,30.2507285340736,29.7706236134305,29.4074112362335,30.1441038481767,260
29.945224660126,29.5819759920025,30.3084733282495,29.8455060933617,29.4906666969657,30.2134946339007,258
29.969838658243,29.609369244229,30.3303080722571,29.9111571592534,29.5507529831378,30.2708660118761,251
30.1293167224196,29.7614077108474,30.4972257339918,29.9939076821584,29.6312605374207,30.3626994441503,245
30.1800509426719,29.8105510471727,30.5495508381711,30.022118940117,29.6653852999997,30.3925030140181,242
30.1643663262198,29.8032983651094,30.5254342873303,30.0387849834068,29.6873125922282,30.3928071802679,242
30.1423303715004,29.779595974651,30.5050647683499,30.049323607857,29.6804621367051,30.4054857965624,237
30.1340429992743,29.7829798701776,30.485106128371,30.0724325629781,29.7225077148712,30.4113789892881,237
30.1840401391881,29.8266491231726,30.5414311552035,30.1343490413091,29.7735530540187,30.4841928328953,235
30.2585154257961,29.89880335893,30.6182274926623,30.2353062509175,29.8716793461479,30.5928936611865,233
30.2872370771173,29.9335961366521,30.6408780175825,30.2440904767599,29.8965903223186,30.5913852306333,231
30.3249632746268,29.9548587797408,30.6950677695129,30.2994092004221,29.9418613079617,30.6688160920854,231
30.3818619409899,29.9780626975917,30.7856611843881,30.3461005776321,29.9552202047475,30.7379510033052,227
30.4149088845342,30.0076430436718,30.8221747253966,30.3612959815869,29.9727644339983,30.7504156305814,225
30.4404683299013,30.0238406382273,30.8570960215753,30.3625466568572,29.9786178903504,30.7445217726923,225
30.366359631628,29.9391045449188,30.7936147183372,30.3447852157165,29.9432575595806,30.7434792809732,225
30.5665362989567,30.1371869257342,30.9958856721792,30.4168380389417,30.0127634953612,30.814653224341,224
30.63961546899,30.1913536887437,31.0878772492364,30.4810712710291,30.0633761317753,30.8933869612622,221
30.6820653136041,30.2160863998919,31.1480442273163,30.49593323029,30.0843478754527,30.9135877967472,220
30.7118227199562,30.2499568569547,31.1736885829576,30.5403985028157,30.1292510617563,30.9553403449872,219
30.6066342881624,30.1618034604054,31.0514651159193,30.4180149541338,30.0335837914643,30.8145039301166,218
30.6088748754273,30.1561530524849,31.0615966983698,30.4071695359572,30.0116205726819,30.803829233782,216
30.4801115014814,30.0344045435885,30.9258184593743,30.3199377621268,29.917673995448,30.7296715184557,215
30.5874591285467,30.1300486282487,31.0448696288447,30.4264330323096,30.0239387023153,30.8386470672394,212
30.7377969055952,30.2810321304117,31.1945616807788,30.5572882661399,30.1487197356704,30.9665395309151,210
30.7999415998764,30.3368378361204,31.2630453636325,30.5899251306796,30.1673769606569,31.0255219552441,208
30.7471021618097,30.3185950025189,31.1756093211004,30.5930465686052,30.1935899681771,31.0076843487236,207
30.692083401648,30.2815996251434,31.1025671781527,30.6185334418584,30.1869559929565,31.0289651090754,204
30.6885455163875,30.2717571257544,31.1053339070206,30.5931000571844,30.1790375444325,31.0362599954713,200
30.6723041896061,30.2482555861602,31.096352793052,30.6750810159781,30.255029987095,31.0732075270739,197
30.8829168948642,30.4733120464965,31.2925217432319,30.8030506598398,30.3881917614727,31.1978387444073,193
30.7724673891031,30.3579054487159,31.1870293294904,30.7079763564975,30.2975095165004,31.1161945348871,192
30.8263987314135,30.4014850542575,31.2513124085696,30.7501022609627,30.3397440251754,31.1763666956659,192
30.8605145120816,30.4418462896952,31.2791827344679,30.7579933784119,30.3583322680426,31.1718925374843,190
30.975630727482,30.552850330005,31.398411124959,30.9025996120991,30.4967823100329,31.3070107100691,189
30.9770528239567,30.5414234790191,31.4126821688943,30.8473230941326,30.4366483867781,31.2586611954619,187
31.0466454327247,30.587526712116,31.5057641533335,30.8910804235304,30.4737229938095,31.300498224497,186
31.0297325103605,30.5809398873466,31.4785251333744,30.9218654592778,30.4933675009019,31.3331705624683,185
31.0472466315641,30.6187136074133,31.4757796557149,31.0049108537451,30.575026600098,31.4325766509874,184
31.0625276017492,30.6043209664963,31.520734237002,31.0107344367206,30.5715719660282,31.4496965694776,181
30.9800686446107,30.4846004225914,31.47553686663,30.8835739979793,30.3858349252465,31.3589788097746,177
31.0109293812091,30.4955426176826,31.5263161447356,30.9167624556037,30.416327969858,31.3916336818428,175
30.9750473734624,30.4558510425577,31.4942437043672,30.834886037836,30.3843172329536,31.3336733231691,173
31.1066651527122,30.5863066948779,31.6270236105465,30.8662727697627,30.4075781547558,31.3408370631027,172
31.176310105793,30.666895002735,31.6857252088511,30.9638087061283,30.4860819968275,31.4468722006977,172
31.1573945717884,30.6507287115005,31.6640604320763,30.9971212118674,30.4955158767301,31.4937698081223,172
31.2495733110105,30.7679967447699,31.7311498772512,31.0721832767647,30.584967080195,31.539759402015,171
31.2293917522082,30.7626168283313,31.6961666760851,31.0721886701598,30.6006306673195,31.5480513254269,171
31.2743529361573,30.8049234593871,31.7437824129275,31.0643013564201,30.6178275894351,31.5144620897474,171
31.2415573968811,30.7450829213247,31.7380318724374,31.0268996792853,30.5732667530744,31.5092187829828,169
31.2338312124521,30.7290044639829,31.7386579609213,31.0585762434952,30.5926000245565,31.5393154362124,167
31.3747762081349,30.8610364296793,31.8885159865906,31.1788383238866,30.7034140496812,31.6859928966005,166
31.3969906078774,30.8855108386028,31.9084703771521,31.2003553915286,30.7407016656552,31.6972281056261,164
31.3829685783604,30.8746079439837,31.891329212737,31.2152110873909,30.7597717865888,31.6902962885261,164
31.3470404080617,30.805766740734,31.8883140753894,31.2055587350772,30.7372181906088,31.68439549076,162
31.3827947959429,30.8656847416092,31.8999048502765,31.198298542446,30.7522967996409,31.6608033603444,161
31.5488738710576,31.0274635589136,32.0702841832016,31.3371422670013,30.8736102260916,31.799839489599,158
31.6074988169318,31.075318261514,32.1396793723497,31.389206270237,30.9180401971955,31.8681259799982,157
31.6187083436215,31.0831653076973,32.1542513795457,31.4282866371992,30.964955979548,31.9091506104491,158
31.6116383252803,31.0918137638117,32.1314628867488,31.3978480187984,30.9484381554545,31.8605940016592,157
31.5349078371539,31.000159837322,32.0696558369858,31.3052020852484,30.8672499652181,31.7476485613235,154
31.5491507843994,31.0179072789385,32.0803942898603,31.3190322835546,30.8837672124297,31.7589278895209,156
31.5857434462481,31.0380134531235,32.1334734393727,31.370527834433,30.9337204639616,31.832051856592,156
31.5281535055058,31.0256637508924,32.0306432601193,31.3731030901582,30.9424177170246,31.817158313595,154
31.5262963482156,31.01892448093,32.0336682155011,31.4063498062668,30.9867161155187,31.8472594957481,154
31.4026292794309,30.9127827546881,31.8924758041737,31.3252224019579,30.8878640492017,31.7647547078934,152
31.2784174429151,30.7955492890301,31.7612855968001,31.2108965161688,30.7894861530264,31.6476460128271,152
31.2712327986676,30.8138468059986,31.7286187913364,31.1595928121471,30.7469426171834,31.5980903110591,151
31.3506178451027,30.8990922303631,31.8021434598422,31.2298569081775,30.8182499278962,31.6564158233788,151
31.2616082350377,30.8138096520015,31.709406818074,31.1823683604876,30.7802604981481,31.5942120668469,151
31.1789386405437,30.7320672696846,31.6258100114028,31.1286026388223,30.7180237000717,31.5488764397118,151
31.13043842211,30.6797798139933,31.5810970302266,31.1094938269502,30.6954656223219,31.5443551357416,150
31.1712731920581,30.725833874274,31.6167125098422,31.1265402667326,30.7055069567346,31.5628247719261,148
31.0350138677497,30.5877821178258,31.4822456176735,31.0783043727162,30.6244154675794,31.4940774717229,147
31.221949129915,30.7551580627562,31.6887401970737,31.2794764251547,30.840271921883,31.696923024162,147
31.1851656583912,30.7254669786422,31.6448643381401,31.1731713957657,30.7147943637264,31.6194315195388,147
31.3296152208007,30.8761359222604,31.7830945193409,31.2664193075641,30.8128873002876,31.716251777546,145
31.3575090088556,30.889477352913,31.8255406647983,31.2631899352513,30.8111642266928,31.7044837353787,142
31.4010724185319,30.9332115187944,31.8689333182695,31.3192619430032,30.858326196125,31.7852376163562,141
31.4481787491362,31.0100365537348,31.8863209445376,31.3854915964221,30.9339519095218,31.824742286886,141
31.4631516433887,31.0234696608029,31.9028336259744,31.4496798617767,30.9829421830078,31.8837330464447,141
31.4154948510255,30.9696141805901,31.861375521461,31.3425354676384,30.9010461924583,31.8035100393043,141
31.3956968537645,30.9613703762834,31.8300233312457,31.3241120682221,30.8772165480627,31.7701929542671,141
31.4824870068493,31.0093382610425,31.9556357526561,31.3655224998811,30.8853523777855,31.8643464622136,138
31.5470867280921,31.0592135840711,32.0349598721131,31.4439063645545,30.9575131841068,31.9348430262504,139
31.4562162555748,31.0007391430035,31.9116933681461,31.4551749647522,30.9929750160012,31.9135776690342,139
31.4592381818496,30.9867716162116,31.9317047474877,31.4187668585161,30.9381917452753,31.9155435630934,139
31.5201651384949,31.0330283840029,32.007301892987,31.440794530599,30.95006410162,31.9175350571206,138
31.5527106577442,31.0680620504216,32.0373592650668,31.4736977903732,30.9871225131932,31.9625772307396,138
31.5031746556756,31.0173899976808,31.9889593136703,31.4091623734976,30.9537820076274,31.8709315006352,135
31.5064510321774,31.0124862227768,32.0004158415779,31.4046441013772,30.9319650053538,31.8818139704407,137
31.4284344151022,30.945432626393,31.9114362038114,31.3782909337951,30.9135485585269,31.863853896889,136
31.3799786338243,30.8937635677252,31.8661936999233,31.3053079243022,30.8365032846654,31.7712987451836,136
31.4010184901911,30.885578684225,31.9164582961572,31.2950141502853,30.7895322089739,31.7790498758323,135
31.3954495805185,30.8607092796783,31.9301898813588,31.3128952408607,30.8102198590566,31.7835827433837,135
31.6004846139711,31.0448581678137,32.1561110601285,31.4172233233969,30.9335722163373,31.9359086232536,135
31.6415634548793,31.0758173075995,32.207309602159,31.4279058978576,30.9473698994023,31.9613359577349,135
