"Intercept","alpha","rn"
1.42229293281989,0.0191323220199395,1024
1.42311089237237,0.0190929162075935,512
1.42244652193349,0.0191681550096118,256
1.42030990370473,0.0196840260246472,128
1.4182710176539,0.0197779671757789,64
1.41433287235476,0.0202708760101919,32
1.41012024502192,0.0184414009895828,16
1.40201053305944,0.0106128037779666,8
