"mean","t_ic_i","t_ic_s","median","w_ic_i","w_ic_s","count"
25.1540002969544,24.9761366564272,25.3318639374816,25.0347812965116,24.8368684620918,25.2326090473661,2286
25.1882606885327,24.9995972495531,25.3769241275124,25.1464617813463,24.9485790268469,25.3462805484693,2284
25.280372460952,25.0876266075688,25.4731183143352,25.3169645735814,25.1112726694339,25.525343750171,2287
25.2743691571557,25.0852510611094,25.4634872532019,25.3746524840233,25.1708231563444,25.5762321870393,2285
26.0026146339045,25.8048833862068,26.2003458816022,26.1643488208842,25.9693356839226,26.3580866353236,1902
26.2323333827083,26.0383764947533,26.4262902706634,26.4007554644471,26.2143024167937,26.5875364239082,1823
26.4420825516164,26.2489408528153,26.6352242504175,26.6005549109002,26.4186114216771,26.7793769496386,1721
26.6731831241558,26.4824447273183,26.8639215209932,26.7789102756325,26.6016880373728,26.9561322394258,1650
26.7847442378019,26.5950199641785,26.9744685114253,26.8758760915635,26.6991682979415,27.0528386009386,1613
26.8412903016347,26.6578530125525,27.0247275907169,26.9147489485051,26.7424397172922,27.0868989911553,1577
26.8901558621161,26.70772960155,27.0725821226823,26.9817929002518,26.8146422332479,27.1481377470699,1549
26.9532720535464,26.7735147179775,27.1330293891153,27.0188045040696,26.8544672821255,27.1831209029429,1509
26.9896684653072,26.811341907679,27.1679950229354,27.0688252194437,26.9062144721786,27.230709491357,1476
27.0735372466894,26.8973786160311,27.2496958773477,27.1189727510676,26.9550487254822,27.2810100231576,1461
27.1354279475474,26.9604338804495,27.3104220146454,27.1770031448847,27.0165820034233,27.3371250474328,1432
27.1402379431883,26.9626974682444,27.3177784181323,27.1934463786211,27.0320938431721,27.3538069709268,1416
27.2003637555776,27.0220991883275,27.3786283228277,27.2320842423413,27.071788156148,27.3931608316081,1379
27.2019100657469,27.0256873573718,27.3781327741221,27.2460402601381,27.0884605842743,27.4040324689986,1359
27.2546357314504,27.080441095149,27.4288303677518,27.2923946383498,27.1350413096994,27.4505267515435,1343
27.2831699670864,27.1102005303086,27.4561394038641,27.3110271194062,27.1545474386484,27.4702175649484,1326
27.309449056945,27.1345272920012,27.4843708218889,27.3558611210905,27.1980510957338,27.5103691574187,1310
27.3444558373525,27.168802732532,27.5201089421729,27.3931561667821,27.2380171096085,27.5466524496241,1290
27.3738734268536,27.1997161472391,27.5480307064682,27.4003064712112,27.2477898998686,27.5541393439266,1279
27.4014377628772,27.2277834050006,27.5750921207539,27.439682748934,27.2847249237477,27.5923742438858,1265
27.4242497068331,27.2519660608266,27.5965333528397,27.4440671337982,27.2906201175127,27.5971053211198,1252
27.4858425276272,27.3123858001207,27.6592992551338,27.4855892635653,27.3295683004806,27.6411165999784,1237
27.5217446806791,27.3477237484575,27.6957656129008,27.5129689734698,27.354946311035,27.6697126242295,1227
27.4979263599755,27.3264807034242,27.6693720165268,27.4914577663096,27.3335822917118,27.6488363775917,1204
27.545619217441,27.3702229562375,27.7210154786445,27.5255486899096,27.368255836305,27.680863557215,1184
27.5898201151512,27.4136233183158,27.7660169119865,27.5705214337246,27.4148274352515,27.7273738544606,1169
27.6202469496476,27.4455684982668,27.7949254010285,27.608315772503,27.4500241332596,27.7669103102037,1161
27.6244710291036,27.4497626402632,27.799179417944,27.6144488933862,27.4540527215573,27.7755414305978,1142
27.6357320586837,27.4593460936028,27.8121180237646,27.639424272689,27.4760949184956,27.8014813032087,1134
27.6800184617522,27.505040466194,27.8549964573103,27.656846234817,27.4960549657969,27.818773493188,1116
27.6510905547384,27.4741854838114,27.8279956256655,27.637668850552,27.4736683949619,27.8009937066115,1108
27.6803196745494,27.5042848500462,27.8563544990525,27.6517641747144,27.486375008717,27.8184133536943,1092
27.6859723009918,27.5072303608643,27.8647142411193,27.6514623150799,27.4837869858204,27.8204635647086,1080
27.6992576837313,27.5155409314451,27.8829744360175,27.6407681290184,27.4748908969708,27.8120840820699,1070
27.7582926740704,27.5718688818219,27.9447164663188,27.7173013288504,27.5447265897491,27.892581894734,1056
27.7933603561921,27.6065157496953,27.9802049626889,27.7517957952195,27.5819570988072,27.923861421323,1043
27.8216743236569,27.6333687329839,28.0099799143299,27.7654958180172,27.5977106712185,27.9363688721029,1031
27.8101088694992,27.6148350015642,28.0053827374342,27.7415812569162,27.5730936424534,27.912067878456,1017
27.8572275397995,27.6563424526604,28.0581126269386,27.7638303327011,27.5901811296902,27.9398072276291,1005
27.94150595643,27.7382033686398,28.1448085442203,27.8425771862083,27.6693548929067,28.0165624681813,995
27.9701983355875,27.7687321830971,28.1716644880779,27.8530608596961,27.6799721826279,28.0293137078506,984
27.9633726655973,27.7653936776892,28.1613516535055,27.8890594607473,27.7150973721118,28.0637542836651,975
28.0103053602789,27.8146329080023,28.2059778125555,27.9108254887174,27.7387334409691,28.0840129985343,961
28.0012218656387,27.807015786197,28.1954279450803,27.8958673427606,27.7236768756056,28.0706717242825,954
27.9836138109667,27.7831450904464,28.1840825314869,27.8742158071221,27.6983283602998,28.0524870197306,945
28.0467541653409,27.8457205296561,28.2477878010257,27.9338834749772,27.7577656252126,28.1146917592215,936
28.0892759898917,27.8902323498547,28.2883196299287,27.9475634007893,27.7719877539631,28.1252723660094,924
28.0476445592736,27.8527931498486,28.2424959686987,27.9343578027219,27.7558480234336,28.1113312207152,914
28.0541189563914,27.8568912575995,28.2513466551834,27.94276671736,27.7650816653263,28.1246090300187,897
28.0727560816069,27.8752478554554,28.2702643077584,27.9647730619344,27.7828930441879,28.1492221582328,880
28.0442947635609,27.8448072846021,28.2437822425197,27.9702515015837,27.7857538796516,28.1580788383188,868
28.1000135483311,27.8976314411483,28.3023956555138,28.0168189905407,27.8267858589965,28.2066169385508,856
28.0967010426498,27.8924620347177,28.300940050582,28.0230059016454,27.8342334087185,28.2156378226073,851
28.1740556879404,27.9663752313737,28.3817361445072,28.0681623925465,27.8747676722579,28.2617511560421,839
28.1594041790243,27.9491269280707,28.3696814299778,28.0584800159077,27.860716355465,28.2620817905397,832
28.2166193652446,28.0017118789025,28.4315268515867,28.1287000659202,27.9216656226186,28.3367193364873,825
28.2229632296527,28.00278302523,28.4431434340753,28.1369849467756,27.9322410252689,28.3415799378983,818
28.2438236788446,28.0185030485843,28.4691443091049,28.1414875246132,27.9364000937298,28.3499785489969,807
28.2668095153222,28.0474463416745,28.4861726889699,28.1486560524962,27.9471655607517,28.3581081745373,801
28.2560088613509,28.0361228117611,28.4758949109407,28.1396171770427,27.9294401222513,28.3509535576533,794
28.285375438478,28.0580013649928,28.5127495119631,28.1584057158562,27.9478517200872,28.3753878434786,776
28.2610840515736,28.0334335252291,28.4887345779181,28.1393434187044,27.9277116848821,28.3527802486466,769
