p,times1,team_times1,won1,team_won1,last,max_times12,mean
191,1400,1173,857,805,2007-11-24 17:52:27,151,32.7445973262
202,1400,433,762,313,2007-12-03 17:13:33,196,30.1220288794
307,1400,349,331,123,2008-10-16 01:32:19,22,29.6694313227
385,1400,422,472,228,2007-08-08 16:33:08,45,29.0482883054
470,1400,775,766,493,2007-11-01 23:00:54,330,30.927334148
473,1400,800,609,459,2009-02-27 14:02:39,182,31.5001587474
500,1400,164,597,69,2008-02-20 11:10:30,5,30.4942259025
504,1400,499,479,314,2007-04-23 15:00:53,464,29.326952955
616,1400,79,544,37,2008-02-26 20:37:11,10,32.2448055712
630,1400,344,442,172,2006-11-30 02:06:07,34,28.0373869073
698,1400,234,531,160,2006-10-20 21:25:59,83,30.9557346052
702,1400,781,749,576,2007-07-07 06:09:44,118,31.4198372175
719,1400,22,562,13,2009-03-27 23:51:37,7,31.5232902108
966,1400,10,604,4,2008-03-02 16:24:32,3,32.5603285868
1173,1400,110,403,52,2007-11-12 17:28:47,16,33.4995526132
1787,1400,424,644,259,2008-01-29 02:51:24,201,29.5037317583
1819,1400,50,578,21,2007-07-09 03:33:07,7,33.0754807213
2036,1400,603,419,261,2006-10-21 10:18:29,44,26.5859087789
2126,1400,151,385,52,2008-01-18 05:03:41,14,30.5081386367
2276,1400,540,730,371,2007-12-05 09:01:22,52,28.817929606
2281,1400,265,690,172,2008-05-09 13:03:41,129,31.5237238989
2302,1400,167,445,91,2007-12-07 17:25:22,90,31.9305708206
2923,1400,20,539,7,2007-12-09 19:01:47,2,33.6686209559
3019,1400,158,1010,126,2008-07-28 18:20:50,97,31.5301471421
3247,1400,80,473,31,2009-05-27 23:23:11,3,27.7840058542
3289,1400,789,734,446,2007-11-27 21:36:51,404,30.4097256456
3450,1400,147,548,71,2008-09-22 08:52:13,29,29.6523106625
3525,1400,100,482,51,2008-03-22 20:02:57,12,29.6449886746
3598,1400,99,435,58,2007-12-02 21:05:00,47,29.5795817191
3674,1400,65,377,30,2008-04-16 15:33:24,30,28.7365130845
3753,1400,47,544,24,2008-03-04 02:55:29,16,30.6608092947
3791,1400,1296,1033,998,2007-06-07 00:27:40,430,31.8931972393
3904,1400,1327,1110,1094,2007-01-23 21:58:34,303,34.3815861929
3950,1400,1074,1060,826,2007-07-12 16:49:02,446,36.7694488431
4176,1400,179,448,94,2008-03-19 19:01:51,67,29.4758213833
4381,1400,686,589,364,2007-07-04 17:50:26,148,30.3916057723
4766,1400,15,473,4,2008-04-16 17:44:49,1,31.0567398459
4857,1400,318,717,196,2007-11-27 03:54:14,97,31.6790963295
4985,1400,1019,832,743,2007-01-08 04:33:43,140,32.6626361934
5001,1400,332,457,217,2006-12-24 05:55:55,163,29.2866324517
5163,1400,844,523,367,2007-05-16 19:25:56,22,29.3224291007
5183,1400,513,575,346,2009-01-04 04:55:46,221,29.9920096743
5360,1400,878,741,590,2007-07-05 15:21:48,206,32.8751875964
5422,1400,47,470,25,2007-03-19 22:07:14,26,30.9967561588
5668,1400,100,431,57,2008-08-17 21:30:29,74,29.7363698269
5696,1400,202,318,63,2008-08-26 23:38:18,48,29.9312250315
5743,1400,572,616,364,2007-03-16 15:50:57,159,29.9503800053
5822,1400,10,432,4,2008-07-22 00:12:40,1,30.4373822052
6083,1400,349,630,197,2009-06-14 19:14:53,86,31.0648860718
6145,1400,381,667,290,2006-12-29 13:35:56,85,30.9020579215
6153,1400,896,644,498,2008-04-02 20:28:53,335,29.0244983405
6463,1400,59,428,30,2008-11-24 02:10:10,7,30.293598524
6480,1400,151,402,53,2007-08-05 11:15:00,33,29.7501591486
6584,1400,106,395,46,2008-12-26 22:52:57,39,29.584592652
6607,1400,45,482,19,2008-11-09 00:12:09,29,30.5601427208
6640,1400,52,389,27,2008-05-19 16:36:41,13,31.8500704468
6692,1400,46,687,22,2007-12-24 14:01:14,4,30.5723755261
6788,1400,534,479,268,2007-04-24 12:27:20,59,28.3781063301
7015,1400,463,592,255,2008-05-02 03:25:17,204,30.3722266072
7077,1400,589,694,402,2008-09-02 09:18:18,47,29.6599702972
7285,1400,259,567,114,2008-08-24 11:38:52,110,31.4861422253
7285,1400,259,567,114,2008-08-24 11:38:52,110,31.3891903515
7469,1400,54,289,25,2009-06-29 15:28:04,5,30.7042782363
7902,1400,11,484,1,2007-08-10 21:36:49,2,26.3303123625
8211,1400,65,458,32,2008-06-21 02:42:38,33,30.3957919238
8215,1400,183,518,84,2007-06-22 22:04:33,73,30.9685411296
8395,1400,995,764,627,2007-02-24 20:16:06,124,31.4395027447
8919,1400,186,831,121,2009-01-19 05:14:15,67,31.7325285283
9054,1400,23,387,5,2007-08-23 22:18:56,5,32.1081047236
9175,1400,973,892,734,2007-08-08 21:32:40,533,32.911041122
9563,1400,47,479,30,2007-12-12 04:39:49,33,29.3884356
10083,1400,112,489,60,2009-04-03 15:52:50,21,31.3849819289
10277,1400,1084,933,819,2007-12-06 02:31:13,506,33.457678666
10539,1400,82,409,41,2007-05-22 02:01:19,29,31.9801205847
10752,1400,45,489,18,2008-10-09 21:49:45,2,30.9728845262
10807,1400,429,544,205,2008-06-06 19:57:36,167,30.1778250516
10893,1400,1218,948,901,2007-07-10 10:40:01,581,32.6123292313
10973,1400,937,600,505,2009-07-07 19:19:23,783,30.0128038433
11107,1400,537,533,308,2008-02-28 01:46:57,373,29.5400892484
11321,1400,474,553,287,2007-04-28 02:16:46,42,28.526738372
11544,1400,109,617,48,2008-06-02 01:19:41,69,32.2195109036
