p,times1,team_times1,won1,team_won1,last,max_times12,mean
8,1100,14,528,8,2008-08-07 01:51:44,7,31.3239355085
40,1100,99,300,28,2009-04-01 14:09:56,4,28.3375172673
88,1100,16,214,6,2009-06-10 20:19:53,9,29.7375521345
191,1100,878,641,593,2007-10-01 20:21:50,108,30.6331149603
202,1100,430,615,312,2007-07-05 12:35:18,196,29.9598210385
307,1100,241,208,58,2008-07-09 16:32:46,17,29.5984829065
385,1100,344,371,195,2007-06-04 23:22:29,30,30.0589292199
398,1100,46,388,22,2008-11-05 14:28:10,2,34.2231758882
470,1100,625,589,405,2007-05-30 20:55:59,277,31.8235626299
473,1100,597,472,340,2008-10-16 15:51:03,182,32.3453690726
500,1100,151,446,64,2008-01-05 02:23:08,5,30.1086041857
504,1100,345,368,224,2007-02-08 20:21:02,313,31.024731756
616,1100,78,364,37,2007-11-28 16:52:11,10,32.2487383083
630,1100,303,369,154,2006-10-06 02:46:31,32,29.7262149716
698,1100,205,443,145,2006-07-05 15:02:47,82,30.0837812136
702,1100,597,559,434,2007-03-27 23:00:17,80,31.1580838699
719,1100,15,427,7,2008-03-14 17:58:04,2,31.4018387323
966,1100,10,496,4,2007-10-28 11:02:11,3,31.1467843989
982,1100,201,448,113,2008-04-03 05:11:26,140,31.9733531822
1053,1100,150,314,83,2008-09-12 21:37:01,25,29.8671905085
1173,1100,102,293,46,2007-06-22 15:12:53,16,28.731542853
1619,1100,16,524,6,2009-05-26 11:29:05,1,31.2988927148
1787,1100,339,509,197,2007-11-27 22:18:55,148,30.6552569771
1819,1100,50,417,21,2007-02-07 19:33:54,7,33.4641431733
1826,1100,22,474,10,2008-10-18 00:35:32,3,30.1657558788
2000,1100,43,300,10,2009-02-01 17:59:22,7,26.5053814823
2001,1100,1000,773,735,2009-03-17 05:14:25,96,31.7695211417
2036,1100,472,311,187,2006-09-26 06:13:36,29,27.7378707641
2126,1100,147,315,51,2007-08-29 23:49:52,14,26.8415569904
2276,1100,506,605,355,2007-10-05 06:50:39,52,30.2008950696
2281,1100,259,516,167,2007-11-11 05:00:10,129,32.3395899332
2302,1100,161,332,89,2007-11-11 00:05:49,90,28.0095461024
2571,1100,6,298,0,2009-04-28 01:43:12,1,29.829609486
2824,1100,4,260,1,2009-03-22 19:42:03,1,30.3636261281
2923,1100,20,384,7,2007-10-19 14:55:10,2,29.5956087184
2960,1100,7,550,3,2008-05-14 09:08:27,3,32.6085049554
3019,1100,144,811,114,2008-03-16 16:03:04,91,33.8375976185
3026,1100,22,230,8,2009-06-06 20:19:07,1,25.0544580873
3247,1100,80,342,31,2009-03-04 20:17:26,3,29.7850210897
3289,1100,596,574,342,2007-09-19 02:49:32,320,32.8698386856
3314,1100,414,399,230,2007-10-16 13:35:30,30,31.1802097263
3417,1100,156,299,80,2008-02-19 00:06:36,6,27.5889859636
3450,1100,132,436,63,2008-02-12 21:03:53,16,29.141287295
3525,1100,88,398,44,2008-01-08 19:09:40,9,28.8124551593
3570,1100,32,402,17,2008-04-26 09:22:46,9,28.768072436
3598,1100,99,345,58,2007-09-22 07:55:56,47,29.3910842051
3602,1100,318,485,208,2007-02-24 06:34:00,166,33.4855109794
3674,1100,65,307,30,2007-10-31 11:20:29,30,30.4165315675
3695,1100,108,302,53,2009-04-16 07:23:32,32,31.3864174414
3753,1100,47,440,24,2007-12-02 12:36:22,16,34.0336437264
3791,1100,1001,812,779,2007-04-01 22:30:44,289,33.0104110801
3904,1100,1030,879,863,2006-12-09 19:57:41,269,35.1412397096
3950,1100,1011,809,782,2007-05-22 23:53:19,409,30.7039745207
4176,1100,174,343,91,2007-11-28 11:52:52,65,29.7941751907
4351,1100,271,404,131,2009-05-02 17:26:42,81,28.3950945975
4381,1100,434,456,246,2007-03-03 15:41:34,55,31.9129364057
4766,1100,15,388,4,2008-03-16 09:02:53,1,30.0399864064
4857,1100,297,544,184,2007-10-01 23:56:53,86,30.9268329378
4985,1100,728,593,508,2006-12-02 14:21:28,125,30.7404578199
5001,1100,231,344,144,2006-11-19 16:09:29,71,29.3332148269
5163,1100,704,414,308,2007-03-14 21:29:12,22,27.9106508945
5183,1100,473,492,329,2007-12-14 05:13:01,210,30.2681111194
5360,1100,649,552,428,2007-03-11 21:25:12,138,31.5324764219
5422,1100,31,349,14,2006-12-02 20:44:31,14,29.5854730812
5503,1100,306,511,185,2008-12-31 20:18:40,59,29.5472403924
5668,1100,96,326,55,2008-02-25 02:22:51,71,31.0590493553
5696,1100,195,256,62,2008-04-29 00:05:18,46,30.245521244
5733,1100,433,509,300,2007-09-04 14:24:14,137,32.4338933898
5743,1100,432,461,259,2006-11-30 10:08:17,95,29.3548172315
5822,1100,9,314,3,2008-06-04 17:54:45,1,29.8574317987
5909,1100,33,466,13,2009-06-19 14:56:40,10,29.4621156661
6020,1100,111,352,68,2008-04-30 00:02:01,25,34.1977572951
6083,1100,256,487,151,2008-10-26 17:28:54,83,31.373739092
6145,1100,172,468,117,2006-12-09 00:08:41,20,30.3734306466
6153,1100,724,543,421,2007-08-05 13:54:18,195,28.8361261555
6320,1100,30,530,15,2009-06-06 13:32:31,3,29.109161784
6463,1100,22,310,9,2008-08-08 16:14:51,2,29.6651380651
6480,1100,140,299,49,2007-05-05 22:36:01,33,32.1247640911
6509,1100,116,511,64,2008-11-23 07:20:29,101,29.3240101829
6584,1100,55,316,26,2008-06-05 23:47:54,27,30.1907625463
6586,1100,857,735,616,2008-02-18 07:10:23,613,30.5579729067
6607,1100,38,371,15,2008-08-15 13:11:55,29,30.3480614666
6617,1100,25,377,10,2009-06-08 01:24:17,8,30.4105254443
6640,1100,25,317,11,2007-08-06 14:58:10,6,32.1837586082
6692,1100,46,531,22,2007-10-31 20:09:28,4,31.9422920682
6788,1100,429,388,220,2007-03-04 15:54:18,59,26.9889180057
7015,1100,446,482,249,2007-11-30 04:17:41,190,31.097251145
7077,1100,533,559,364,2007-11-16 03:35:14,47,27.1878618794
7151,1100,560,525,340,2009-04-15 05:46:12,16,28.9017178561
7285,1100,135,455,69,2008-05-28 15:04:20,65,30.6060371591
7469,1100,50,252,23,2008-12-24 18:41:24,5,29.6664387747
7708,1100,210,369,113,2007-11-04 17:55:49,17,31.9722236528
7795,1100,312,403,195,2007-02-26 10:58:00,17,29.2634749205
7902,1100,11,382,1,2007-05-07 02:21:17,2,30.3660727173
8099,1100,86,521,37,2008-07-01 08:21:06,33,29.1425643174
8147,1100,35,218,18,2008-11-12 18:06:48,15,28.872004704
8211,1100,62,346,30,2008-01-09 14:02:58,33,31.1950755398
8215,1100,149,387,66,2007-05-27 23:58:07,43,32.0143074371
8262,1100,17,444,1,2009-01-26 22:11:43,1,27.7076955233
8395,1100,762,610,480,2006-12-24 04:02:41,86,31.2081942584
8919,1100,132,644,86,2008-07-23 21:22:59,58,33.7066461029
9054,1100,22,303,5,2007-05-19 20:52:02,5,31.1410278686
9175,1100,808,751,636,2007-03-19 11:42:54,533,32.0522839946
9563,1100,47,360,30,2007-11-15 06:19:30,33,31.4599968496
10083,1100,76,373,44,2008-08-14 13:35:34,12,32.8350664146
10217,1100,17,448,8,2008-09-22 17:52:48,3,29.8118465113
10277,1100,825,726,633,2007-02-25 01:34:26,451,32.8610731592
10539,1100,82,331,41,2007-04-08 12:18:00,29,31.7557736861
10749,1100,644,642,538,2007-07-28 06:04:54,116,35.1974650586
10752,1100,38,363,15,2008-08-14 02:21:31,2,30.2235248141
10807,1100,376,439,181,2008-04-11 04:31:15,167,29.1148205719
10893,1100,965,757,725,2007-05-30 05:25:42,462,31.3381489445
10944,1100,454,572,320,2007-01-18 08:25:24,87,28.5327283147
10973,1100,842,523,472,2009-01-19 03:14:33,694,29.2299603051
11087,1100,137,179,43,2009-03-26 12:56:33,60,28.7965223677
11107,1100,446,443,268,2007-10-29 02:47:34,307,29.2044699279
11158,1100,163,530,76,2007-11-30 22:57:44,4,30.3130075148
11321,1100,352,434,211,2007-03-08 01:21:20,24,29.0914830275
11512,1100,635,510,375,2008-09-18 10:54:44,112,30.6979075799
11544,1100,88,447,36,2008-04-19 07:07:41,48,31.9053241118
11592,1100,129,363,39,2007-09-26 02:48:29,39,26.5389453575
11709,1100,121,242,40,2008-04-20 21:25:33,2,29.1014599138
12027,1100,435,290,163,2008-01-19 00:04:00,247,29.0580040346
12059,1100,799,677,609,2006-11-22 21:47:14,337,30.6471595681
12251,1100,104,427,40,2008-05-24 05:38:15,4,27.9949626919
12275,1100,228,478,115,2007-09-08 06:22:05,129,30.879232463
12400,1100,223,319,122,2007-05-23 20:01:02,29,29.3400249084
12637,1100,208,530,106,2008-06-12 13:41:01,127,32.6264553501
13073,1100,25,463,15,2007-10-08 01:24:22,18,31.5274842433
