p,times1,team_times1,won1,team_won1,last,max_times12,mean
8,1000,14,485,8,2008-01-07 00:46:41,7,32.5651578275
40,1000,85,292,27,2008-09-23 16:30:06,4,28.1171698286
88,1000,16,193,6,2009-02-17 00:54:36,9,29.7993330697
191,1000,779,575,528,2007-09-08 00:58:29,108,32.2624118435
202,1000,429,566,312,2007-06-22 19:50:21,196,30.4492814336
307,1000,231,172,57,2008-06-16 20:03:52,9,29.0275569169
385,1000,321,336,185,2007-05-14 14:47:43,25,29.1704499688
398,1000,43,336,19,2008-09-01 23:47:24,2,29.5315439912
410,1000,41,379,19,2009-05-10 07:36:45,10,30.5422364778
470,1000,549,526,358,2007-04-24 18:35:30,251,30.0341188651
473,1000,536,433,309,2008-09-08 21:38:51,171,32.458405972
500,1000,150,396,64,2007-12-29 03:11:26,5,30.8170793021
504,1000,289,324,186,2007-01-18 16:49:23,257,30.6763485642
616,1000,75,316,35,2007-09-07 19:04:18,10,34.4765487323
630,1000,289,344,149,2006-09-23 17:34:31,32,29.5546609113
698,1000,183,403,130,2006-06-24 18:01:18,79,29.475410492
702,1000,508,490,368,2007-03-04 17:11:08,76,30.2113865227
719,1000,15,372,7,2008-02-29 03:03:04,2,30.8133542002
963,1000,59,407,29,2007-05-01 02:13:26,34,22.3963055175
966,1000,10,452,4,2007-09-30 06:39:45,3,31.6314861378
982,1000,188,403,105,2008-02-21 17:06:40,133,31.2633613701
1053,1000,142,290,79,2008-05-31 17:48:32,25,29.8941991416
1173,1000,100,273,45,2007-04-06 16:27:24,16,29.9982429378
1619,1000,15,472,6,2009-05-13 14:43:58,1,30.7567785889
1787,1000,296,466,172,2007-11-04 07:47:51,125,29.2732912793
1819,1000,46,374,18,2006-12-12 00:24:19,7,29.1043576371
1826,1000,22,424,10,2008-08-08 19:17:25,3,28.2496390243
2000,1000,41,280,9,2007-12-26 03:43:07,5,30.9111121588
2001,1000,902,704,666,2008-12-22 15:44:32,90,31.9110658743
2036,1000,445,280,179,2006-09-13 21:33:01,28,25.983025638
2126,1000,144,288,50,2007-06-20 10:15:14,14,29.1689839177
2276,1000,506,551,355,2007-08-19 23:02:45,52,30.0162627976
2281,1000,258,454,167,2007-10-10 00:41:59,129,30.1498400473
2302,1000,161,305,89,2007-11-05 03:44:16,90,29.9531878814
2571,1000,6,269,0,2009-02-19 02:08:47,1,30.251453374
2824,1000,4,235,1,2008-12-28 18:22:48,1,30.1846222917
2923,1000,20,339,7,2007-10-04 21:42:06,2,30.9656774271
2960,1000,7,484,3,2008-04-21 13:07:34,3,32.2100388323
3019,1000,143,737,114,2007-12-15 15:06:55,91,36.4607962912
3026,1000,22,211,8,2008-05-30 02:09:38,1,27.4049223112
3034,1000,786,653,595,2009-06-22 23:04:54,180,32.2368379862
3247,1000,80,303,31,2009-02-16 14:28:44,3,29.4215214907
3289,1000,535,512,298,2007-08-31 19:55:01,288,29.4357402926
3314,1000,411,375,228,2007-07-15 13:33:32,30,29.9239533548
3417,1000,152,277,79,2007-07-31 12:16:21,6,30.2613779155
3450,1000,123,398,59,2007-12-21 08:46:43,16,29.4294392929
3484,1000,107,437,60,2008-01-12 17:13:19,33,27.5875692477
3525,1000,83,374,40,2007-12-19 13:12:51,9,28.4754307789
3570,1000,32,355,17,2007-09-15 15:57:04,9,26.9282268644
3598,1000,99,320,58,2007-08-27 08:35:18,47,30.9567377608
3602,1000,237,417,145,2007-01-22 22:48:59,136,31.2391237802
3674,1000,65,273,30,2007-09-18 09:24:27,30,31.0193060565
3695,1000,93,273,45,2009-03-28 09:52:57,32,30.9519278651
3753,1000,47,409,24,2007-10-18 00:00:09,16,32.2875375109
3791,1000,901,738,705,2007-02-19 15:08:09,280,32.7493383866
3904,1000,932,798,782,2006-11-25 01:11:48,260,37.509537681
3950,1000,912,741,714,2007-04-11 00:38:50,359,31.5414794458
4176,1000,160,318,81,2007-09-20 22:48:39,65,27.1211967058
4320,1000,92,170,43,2008-12-15 16:01:08,4,29.5507690698
4351,1000,257,369,125,2009-04-04 01:29:10,77,28.3332377878
4374,1000,397,510,252,2009-01-25 23:32:10,110,25.7122236832
4381,1000,357,399,196,2007-01-27 20:30:12,30,30.3192896435
4766,1000,15,362,4,2008-02-22 19:53:47,1,32.787399561
4857,1000,292,484,181,2007-09-21 00:18:21,85,31.4404477041
4985,1000,630,513,428,2006-11-24 00:17:55,92,31.2063367671
5001,1000,194,307,118,2006-11-07 22:09:36,41,30.4827657692
5130,1000,413,404,215,2009-06-18 10:21:26,233,31.8359870377
5163,1000,647,375,281,2007-02-25 21:33:14,22,27.4866534709
5183,1000,456,457,318,2007-09-30 04:41:53,207,31.2418079639
5360,1000,593,508,395,2007-02-08 18:40:18,131,31.6401401399
5422,1000,28,315,12,2006-11-12 16:49:09,11,29.6809965232
5503,1000,306,460,185,2008-10-28 23:09:08,59,33.2782240113
5668,1000,95,291,55,2008-02-16 08:26:59,70,30.6340149363
5696,1000,192,242,60,2008-03-12 03:37:54,45,30.9646921662
5733,1000,395,463,282,2007-06-19 07:49:00,110,31.7887098671
5743,1000,375,419,231,2006-11-09 18:14:50,86,29.0133880167
5822,1000,9,282,3,2008-05-13 15:06:37,1,29.918816324
5909,1000,32,423,13,2009-04-21 16:46:54,10,29.8776585823
6020,1000,98,325,62,2007-10-09 22:16:26,25,34.5280046984
6083,1000,216,427,124,2008-08-10 22:35:04,83,31.1568210262
6145,1000,118,426,80,2006-11-26 05:02:45,12,31.6935356367
6153,1000,674,505,394,2007-07-01 05:08:48,170,28.1863404158
6320,1000,27,486,14,2009-05-23 03:58:21,3,30.3210017232
6350,1000,105,302,37,2009-03-29 19:22:52,20,29.0154028753
6369,1000,319,351,179,2007-05-18 00:32:32,139,31.3626549955
6463,1000,20,277,7,2008-07-10 17:08:47,2,29.1944478296
6480,1000,131,257,41,2007-04-13 23:51:48,29,28.934996759
6509,1000,116,462,64,2008-10-16 05:01:41,101,29.13889499
6584,1000,54,271,26,2008-05-18 18:37:22,26,30.2101215687
6586,1000,757,666,547,2007-11-27 02:21:53,549,32.5631839352
6607,1000,36,333,15,2008-07-06 23:01:40,27,31.1043681916
6617,1000,15,343,5,2009-05-12 15:45:37,3,31.4497138318
6640,1000,25,297,11,2007-06-22 21:53:49,6,32.7499514314
6692,1000,43,472,20,2007-10-20 07:51:39,4,30.2801550662
6788,1000,400,360,206,2007-02-16 22:59:51,59,27.0879819674
6964,1000,719,606,499,2009-07-03 21:48:55,58,29.9962450284
7015,1000,431,431,240,2007-10-31 03:41:57,185,31.1474686972
7077,1000,518,521,356,2007-10-15 01:38:28,47,30.4013055575
7151,1000,509,493,322,2009-03-27 17:26:49,16,29.1834844005
7285,1000,125,421,63,2008-05-05 20:54:54,65,30.7122003825
7469,1000,48,219,21,2008-11-03 16:56:21,5,28.9492945265
7708,1000,203,317,107,2007-10-28 01:36:05,17,29.0475989182
7795,1000,270,366,169,2007-02-08 18:19:22,17,30.6871231894
7830,1000,194,292,91,2009-05-09 16:24:01,60,31.0694379652
7865,1000,86,313,42,2007-11-28 00:30:16,41,29.4596872975
7902,1000,11,348,1,2007-04-17 07:51:54,2,28.8327065877
8099,1000,86,465,37,2008-04-16 15:56:34,33,30.9679436034
8147,1000,34,203,18,2008-09-07 15:48:52,15,29.1321191767
8211,1000,60,319,30,2007-12-12 04:21:38,31,32.9386887822
8215,1000,137,346,63,2007-05-11 19:59:09,31,30.9394479894
8262,1000,17,410,1,2008-12-02 19:14:17,1,27.5961015687
8395,1000,670,536,407,2006-12-08 08:06:02,76,29.4850659954
8780,1000,791,485,440,2009-06-16 22:44:28,769,29.2881818165
8919,1000,114,576,72,2008-07-01 01:02:53,42,34.0070735952
9054,1000,22,276,5,2007-04-30 22:26:40,5,31.1243938304
9175,1000,745,703,596,2006-12-13 22:27:54,485,33.3491888003
9563,1000,47,318,30,2007-10-19 14:23:50,33,28.0158589104
9899,1000,353,455,251,2007-12-20 01:35:14,60,25.088082716
9976,1000,76,279,29,2009-03-14 22:55:43,47,29.4481005824
10083,1000,55,326,28,2008-03-11 02:42:38,12,33.0373693094
10217,1000,17,418,8,2008-08-30 06:39:53,3,31.5228542617
10272,1000,9,446,4,2009-04-21 23:11:01,2,30.5376708247
10277,1000,733,650,557,2007-02-10 04:47:44,451,32.8473568144
10539,1000,59,295,24,2007-03-25 20:47:51,25,31.1682310988
10749,1000,544,557,453,2007-07-17 01:35:14,92,34.1857062726
10752,1000,35,327,15,2008-07-23 22:40:44,1,30.0966915873
10807,1000,347,401,167,2008-03-26 13:50:23,167,28.8398374866
10893,1000,871,691,659,2007-05-03 10:03:55,422,32.4324267565
10944,1000,380,508,260,2006-12-23 18:28:27,48,29.863890928
10973,1000,776,486,441,2008-10-07 20:49:35,633,28.4808548246
11087,1000,128,164,41,2008-12-28 19:17:12,57,29.166123845
11107,1000,401,404,244,2007-09-15 14:44:37,290,30.6052336303
11158,1000,160,472,74,2007-11-19 21:09:38,4,32.3954901238
11321,1000,309,389,183,2007-02-18 16:11:24,14,29.6837060494
11512,1000,616,481,368,2008-06-14 01:38:06,112,30.6353815767
11544,1000,84,377,35,2008-04-10 21:53:27,44,31.6974745465
11592,1000,129,329,39,2007-08-22 03:20:09,39,25.0133097516
11709,1000,119,221,38,2008-04-06 11:12:30,2,29.0000835589
12027,1000,421,269,154,2007-05-03 18:20:40,238,28.559713177
12059,1000,703,602,534,2006-11-14 14:39:30,251,31.7144184922
12251,1000,104,390,40,2008-05-08 04:21:07,4,26.9178598246
12275,1000,223,427,113,2007-08-10 22:57:19,129,31.6982116495
12375,1000,181,304,99,2009-04-23 15:18:06,130,28.5427906444
12400,1000,203,287,106,2007-04-11 14:22:36,21,28.7222502551
12637,1000,202,479,104,2008-06-04 13:00:12,127,32.1482991361
13073,1000,25,413,15,2007-07-22 00:38:40,18,33.0189489272
13240,1000,94,336,54,2007-08-08 12:56:08,63,29.3785600933
13271,1000,241,432,171,2007-08-07 20:15:05,147,32.195290469
13278,1000,699,597,508,2007-05-05 00:38:43,152,32.0941256647
13334,1000,711,605,526,2007-08-20 15:07:23,153,28.7691557585
13404,1000,36,447,9,2008-01-12 01:30:24,2,29.5760304993
13464,1000,852,553,534,2008-03-21 22:57:29,521,30.6809931033
