p,times1,team_times1,won1,team_won1,last,max_times12,mean
140301,900,46,409,19,2008-07-04 12:58:34,2,31.7604489399
140432,900,20,400,7,2008-07-14 02:25:18,1,29.3303355887
140496,900,106,265,35,2008-04-10 18:54:46,3,28.7189707084
140533,900,26,332,14,2008-04-05 16:19:05,4,30.9123256438
140559,900,32,117,11,2008-11-10 18:01:23,3,30.043224915
140626,900,19,270,4,2007-12-14 00:43:08,2,28.316193295
140975,900,28,490,9,2008-03-14 22:08:18,1,29.6362416853
140980,900,75,332,39,2008-10-05 04:53:20,10,31.2527248009
141105,900,283,194,100,2008-06-30 18:00:25,9,28.9975660083
141236,900,69,267,17,2008-09-22 00:35:05,9,29.2628009657
141285,900,34,273,16,2008-03-28 14:44:47,14,30.1113260778
141625,900,12,221,5,2008-07-07 21:15:45,1,29.0355207669
141659,900,2,262,1,2009-01-11 18:05:23,1,28.8962430262
141696,900,346,266,155,2009-02-27 19:42:16,313,27.8395266948
141752,900,69,229,21,2008-02-19 19:31:31,20,29.7352979596
141797,900,25,371,6,2008-04-19 14:54:39,12,29.9814040007
141931,900,3,297,0,2008-02-01 03:10:44,3,29.9721632676
142051,900,56,346,18,2008-06-30 23:49:17,5,29.8648370326
142121,900,11,374,7,2009-05-05 09:05:24,1,29.2898130863
142486,900,42,477,28,2009-01-15 22:40:39,7,34.8820441241
142504,900,19,313,5,2008-10-19 21:45:45,2,29.3683435223
142607,900,59,242,23,2008-02-18 08:23:19,5,28.6130174703
142622,900,71,357,49,2008-09-03 21:23:30,36,30.6011950036
142717,900,516,280,178,2008-03-16 21:27:27,11,28.8818308568
143035,900,200,307,88,2008-08-08 23:24:17,15,30.6748064125
143048,900,3,276,2,2008-01-26 17:58:48,1,30.0885745226
143053,900,59,408,13,2009-03-19 23:34:18,2,28.0719984412
143077,900,65,419,34,2008-12-01 02:04:05,17,25.9869172741
143212,900,295,324,136,2009-01-31 06:17:59,104,28.1297230103
143311,900,73,171,18,2008-07-19 19:25:48,3,28.956018924
143527,900,48,389,9,2009-02-20 19:54:10,5,29.3148150932
143693,900,24,269,6,2008-12-13 14:46:12,7,31.2973973244
143694,900,90,597,55,2009-05-26 16:19:36,22,30.6623322652
143783,900,49,290,29,2008-02-19 14:02:28,4,32.8672031318
143854,900,100,394,47,2008-12-21 23:15:56,6,31.1565282027
