p,times1,team_times1,won1,team_won1,last,max_times12,mean
191,1500,1273,929,877,2007-12-10 10:54:35,178,32.622478554
202,1500,436,808,314,2007-12-14 01:49:46,196,30.259606257
307,1500,379,358,134,2009-03-12 20:53:56,24,29.1469616339
385,1500,436,490,233,2007-08-26 18:51:53,51,30.0093844981
470,1500,823,820,525,2007-12-02 23:49:44,356,31.0283434971
473,1500,876,660,505,2009-04-08 11:00:40,182,31.3662227799
500,1500,179,633,77,2008-03-02 20:52:19,5,30.1077595805
504,1500,555,518,345,2007-05-18 19:42:44,520,29.8162519761
616,1500,79,606,37,2008-03-14 23:16:31,10,32.1061356203
630,1500,357,472,179,2006-12-14 07:22:48,39,29.1211565153
698,1500,234,572,160,2006-12-01 18:09:39,83,31.6648819055
702,1500,844,816,624,2007-08-17 15:59:54,128,33.5726240685
719,1500,22,613,13,2009-06-15 20:16:19,7,31.5220881698
966,1500,10,638,4,2008-04-11 02:44:24,3,31.9566891481
1173,1500,115,432,55,2007-12-07 23:01:55,16,29.9536322666
1787,1500,450,698,275,2008-02-21 16:54:03,212,30.8288382763
1819,1500,50,626,21,2007-08-22 16:46:24,7,30.0972508285
2036,1500,631,437,273,2006-10-30 23:11:17,48,26.8575235649
2126,1500,153,393,52,2008-02-06 13:00:22,14,29.397243839
2276,1500,602,784,411,2008-01-11 21:41:42,52,29.9279120846
2281,1500,268,748,175,2009-04-14 00:28:37,132,32.4149873167
2302,1500,169,486,93,2007-12-12 20:19:43,90,31.7540562591
2923,1500,20,588,7,2007-12-17 01:18:26,2,29.8919541876
3019,1500,165,1077,132,2008-09-03 16:13:44,97,32.3040012841
3289,1500,855,786,483,2007-12-18 06:57:42,418,29.7274603153
3450,1500,147,577,71,2009-03-24 10:05:16,29,29.6915688186
3525,1500,104,506,51,2008-04-08 00:36:29,12,29.4137415582
3598,1500,99,464,58,2008-01-03 17:49:08,47,30.7859497375
3674,1500,65,390,30,2008-07-30 02:40:52,30,29.5834025882
3753,1500,47,572,24,2008-03-19 20:59:35,16,30.8630459466
3791,1500,1388,1097,1058,2007-07-07 18:21:49,446,31.3344538398
3904,1500,1427,1201,1185,2007-01-28 06:27:27,307,35.9165770278
3950,1500,1108,1137,842,2007-07-30 20:20:06,446,35.1616712326
4176,1500,185,488,96,2008-04-09 19:47:30,73,30.0377482183
4381,1500,740,624,385,2007-09-08 12:38:10,148,30.0112706961
4766,1500,15,499,4,2008-05-12 18:31:12,1,30.5655307247
4857,1500,326,785,200,2007-12-11 15:37:10,100,34.4814899986
4985,1500,1118,923,833,2007-01-18 03:21:13,148,35.4518618722
5001,1500,383,497,248,2007-01-03 22:30:00,211,29.8313534065
5163,1500,866,565,377,2007-07-11 15:48:39,22,29.4510907917
5183,1500,520,617,347,2009-04-13 02:18:16,221,30.5570227574
5360,1500,967,815,658,2007-08-15 01:11:29,225,33.9016150047
5422,1500,51,506,27,2007-04-15 14:59:01,30,30.6973248288
5668,1500,107,464,58,2008-11-12 04:09:25,79,30.2689450296
5696,1500,203,351,63,2008-10-01 23:35:49,48,30.2662476461
5743,1500,620,665,396,2007-04-28 14:44:54,171,29.6411650558
5822,1500,10,468,4,2008-08-03 03:25:51,1,29.6607161131
6145,1500,450,740,353,2007-01-04 03:26:44,111,31.8236572657
6153,1500,940,681,520,2008-04-30 08:15:54,375,29.1460310449
6463,1500,69,459,38,2008-12-30 18:02:35,7,28.95261573
6480,1500,154,445,54,2007-08-21 23:35:38,36,29.2295262934
6584,1500,125,416,53,2009-01-22 22:57:36,46,29.1943104296
6607,1500,56,524,27,2008-12-05 16:23:18,29,30.3701405721
6640,1500,55,416,27,2008-06-11 06:20:43,13,32.5582974809
6692,1500,51,734,27,2008-01-08 17:48:38,4,31.1710970435
6788,1500,584,507,285,2007-05-15 09:53:47,59,28.0590850269
7015,1500,478,644,265,2008-06-05 03:57:54,219,31.3921597795
7285,1500,320,595,132,2008-09-09 19:37:57,168,31.3607283007
7902,1500,11,522,1,2007-09-12 20:06:00,2,31.7832562165
8211,1500,67,490,32,2008-09-30 13:01:03,33,30.486980379
8215,1500,192,561,90,2007-07-03 11:34:24,73,31.6036971621
8395,1500,1089,841,701,2007-03-07 01:15:50,146,32.2117174706
9054,1500,23,416,5,2007-09-19 15:07:46,5,31.489103178
9175,1500,1014,968,766,2007-09-15 08:45:04,533,33.4888760493
9563,1500,47,500,30,2007-12-28 17:35:57,33,29.4336797373
10083,1500,112,542,60,2009-05-05 22:00:03,21,31.5907044085
10277,1500,1171,996,874,2008-02-04 02:59:29,544,32.5938619462
10539,1500,86,430,44,2007-06-08 06:52:14,29,31.887366004
10752,1500,46,535,18,2008-12-20 23:01:12,2,30.7489963096
10807,1500,464,560,215,2008-10-12 03:25:02,167,21.320148826
10893,1500,1296,1008,958,2007-07-24 06:25:21,603,31.4669556188
11107,1500,576,569,325,2008-04-01 00:13:02,393,29.5210062903
11321,1500,513,604,306,2007-05-30 22:05:28,42,30.2969479952
11544,1500,109,677,48,2008-06-23 20:45:18,69,31.9884373735
11592,1500,135,525,40,2008-01-21 18:53:06,42,26.0539045821
12027,1500,458,374,170,2008-10-16 23:13:00,249,29.1489732735
12059,1500,1035,897,783,2006-12-28 04:13:40,513,30.8684352332
12275,1500,243,677,129,2007-10-31 00:08:59,131,32.4456213821
12400,1500,266,464,151,2007-09-15 15:28:30,46,31.5572453641
12637,1500,250,747,125,2008-10-07 22:23:13,127,33.3566095048
13073,1500,33,617,18,2008-06-24 16:41:50,26,32.002033151
13240,1500,113,509,68,2008-02-23 00:30:01,79,29.8828523606
13271,1500,302,604,212,2008-01-20 03:53:34,153,30.271141443
13278,1500,1072,934,774,2007-07-06 01:38:17,398,31.8077011904
13334,1500,1071,916,793,2008-02-24 02:08:00,444,30.9984551056
13404,1500,71,673,18,2008-04-10 21:17:51,2,29.9910593792
13464,1500,1276,846,806,2008-11-07 01:18:55,895,30.0567650409
13475,1500,37,358,9,2008-01-16 13:24:10,2,28.0811266944
13562,1500,7,345,2,2009-06-15 16:03:35,3,32.2173280099
13679,1500,110,471,52,2008-02-04 16:41:26,70,28.7861456961
13801,1500,287,634,158,2009-06-21 11:19:37,148,30.9617158121
13868,1500,266,688,196,2008-04-07 00:27:19,235,31.2893580528
13956,1500,293,665,189,2007-12-13 18:35:59,66,31.4081163068
14165,1500,1281,781,708,2009-03-04 15:25:42,685,30.690278829
14173,1500,76,329,34,2008-09-12 12:25:03,9,28.7274446222
14184,1500,100,468,58,2008-04-28 14:56:42,84,29.7233669197
14379,1500,571,679,273,2008-07-29 14:39:04,544,29.4354685451
14380,1500,645,554,319,2008-05-12 08:30:55,352,29.5170517583
14677,1500,32,502,12,2008-06-21 08:47:38,6,31.7149082993
14768,1500,2,551,0,2008-01-05 15:40:51,1,29.4270987267
14934,1500,1263,1075,990,2007-04-15 15:54:19,463,32.6008824203
14964,1500,1035,868,726,2008-11-27 12:00:32,127,28.3917253726
15295,1500,355,399,116,2008-01-09 07:26:03,12,27.1376921551
15420,1500,2,807,1,2008-01-12 05:34:30,1,29.377979693
15522,1500,276,718,166,2008-03-06 21:39:58,134,33.4474633825
15554,1500,229,508,91,2008-07-28 12:48:14,4,28.329341873
15602,1500,331,397,110,2008-01-17 01:58:55,26,31.0933136751
15631,1500,65,683,31,2008-09-29 14:14:38,58,30.6065242459
15777,1500,724,774,440,2008-12-01 14:48:37,716,30.2784215077
15819,1500,38,561,16,2007-11-24 00:26:11,4,31.5606199284
15865,1500,295,426,159,2008-03-13 03:28:06,20,29.8165890944
16183,1500,322,433,163,2007-10-01 16:01:26,141,29.4658853279
16517,1500,617,650,340,2008-02-29 06:05:22,104,29.6359390156
16558,1500,257,447,71,2009-03-01 06:52:17,4,28.292226793
16627,1500,63,547,31,2008-08-15 21:40:23,45,31.1230106097
16644,1500,4,480,3,2008-07-30 00:37:31,1,30.2747509978
16805,1500,180,582,100,2008-08-08 03:59:10,15,30.6323071853
16867,1500,54,641,16,2008-03-22 22:43:16,7,29.6471367436
17043,1500,225,498,87,2008-03-13 17:54:46,16,28.4996538198
17463,1500,90,558,49,2007-12-16 12:57:02,48,32.1772805819
18203,1500,125,469,84,2008-02-27 11:55:37,58,30.6633902599
18334,1500,35,455,19,2007-12-12 13:48:23,6,31.9457048382
18429,1500,194,696,108,2008-07-24 00:29:48,41,30.0440129475
18458,1500,99,423,43,2009-04-21 15:10:55,32,29.1838043845
18795,1500,257,822,155,2007-11-25 08:04:53,19,29.4906560759
18917,1500,126,408,58,2008-01-29 02:15:45,30,29.350147798
19155,1500,853,808,621,2007-05-07 11:10:52,193,31.3439766109
19318,1500,1021,805,629,2009-06-16 15:27:36,976,32.0130295477
19730,1500,435,605,250,2007-12-01 17:32:11,90,28.055450724
19730,1500,435,605,250,2007-12-01 17:32:11,90,27.8821031291
19791,1500,53,248,20,2009-05-21 21:30:05,2,28.6676861673
19963,1500,72,455,43,2009-06-08 05:29:48,40,31.2004779973
20059,1500,97,266,32,2009-04-08 02:15:20,8,27.7031128309
20493,1500,1422,1115,1091,2008-09-12 23:28:01,339,33.1291338401
20796,1500,272,523,141,2008-11-11 20:33:49,57,29.9365069307
20928,1500,143,534,67,2009-02-09 23:23:32,57,28.9416898101
21076,1500,1087,950,808,2007-06-12 16:59:40,349,33.1528230472
21384,1500,90,505,45,2009-05-05 22:03:03,10,31.6542083184
21430,1500,185,410,61,2008-12-18 02:23:48,17,33.300144758
21468,1500,11,302,2,2008-08-12 21:44:37,1,30.3214050652
21915,1500,31,579,15,2007-09-21 15:54:49,9,29.7655794237
