p,times1,team_times1,won1,team_won1,last,max_times12,mean
191,1300,1076,781,731,2007-11-10 03:08:25,138,31.6082834766
202,1300,433,713,313,2007-11-12 15:37:46,196,29.6181174315
307,1300,322,292,108,2008-09-04 14:19:27,20,30.105731692
385,1300,397,443,221,2007-07-11 14:14:23,41,30.0157691332
470,1300,761,699,483,2007-08-07 16:49:25,324,30.0862257311
473,1300,726,557,410,2009-01-06 22:17:07,182,32.1440464217
500,1300,156,555,67,2008-02-02 23:59:31,5,30.6040179922
504,1300,456,454,295,2007-03-29 20:19:20,421,30.9075866449
616,1300,79,483,37,2008-01-26 01:04:12,10,31.3190014196
630,1300,329,422,166,2006-11-10 02:56:05,32,29.5908977492
698,1300,233,495,159,2006-09-22 00:30:07,83,29.272597312
702,1300,737,683,541,2007-05-30 09:38:00,118,31.7070167243
719,1300,22,522,13,2008-10-13 17:48:34,7,32.2019599426
966,1300,10,565,4,2007-12-08 09:42:30,3,31.3523091994
982,1300,239,535,134,2008-09-10 21:35:30,166,30.8076813263
1053,1300,201,376,107,2008-12-16 23:19:03,25,29.6883156013
1173,1300,109,367,51,2007-10-02 20:28:14,16,31.0489521614
1619,1300,21,645,9,2009-07-01 06:29:01,2,32.4426822413
1787,1300,407,603,245,2008-01-10 22:59:55,189,29.9842245951
1819,1300,50,525,21,2007-05-23 14:00:09,7,30.8263438586
2036,1300,554,371,220,2006-10-14 23:20:26,33,29.5032429101
2126,1300,150,369,51,2007-12-27 00:28:14,14,29.3290486582
2276,1300,506,689,355,2007-11-13 09:56:26,52,30.5284537125
2281,1300,265,630,172,2008-02-04 04:33:21,129,31.583074578
2302,1300,166,406,90,2007-12-02 14:07:09,90,34.0920633711
2923,1300,20,472,7,2007-11-29 08:02:20,2,29.0766318262
3019,1300,149,939,118,2008-06-21 19:30:53,96,31.4291707829
3247,1300,80,434,31,2009-05-12 20:49:55,3,31.0332662008
3289,1300,711,681,404,2007-11-02 19:11:36,379,33.8703249372
3450,1300,147,518,71,2008-08-21 09:49:48,29,31.384869362
3525,1300,92,449,45,2008-02-22 16:29:52,9,29.6592430828
3598,1300,99,411,58,2007-11-07 22:38:19,47,30.531699545
3674,1300,65,357,30,2008-01-29 05:16:27,30,29.6212199145
3753,1300,47,508,24,2008-02-21 04:49:24,16,27.4164649197
3791,1300,1199,963,929,2007-05-09 20:22:29,395,32.8844922617
3904,1300,1227,1037,1021,2007-01-09 16:16:31,288,34.8203773761
3950,1300,1049,978,807,2007-06-25 20:56:33,445,36.5228977674
4176,1300,177,407,92,2008-03-01 10:38:22,65,29.2670540043
4381,1300,617,545,332,2007-05-29 07:34:00,141,29.37431366
4766,1300,15,445,4,2008-04-09 18:09:07,1,31.0209956977
4857,1300,316,658,195,2007-11-12 01:58:18,96,28.4052023082
4985,1300,920,753,664,2006-12-27 12:57:52,140,32.571447109
5001,1300,297,413,188,2006-12-13 23:04:13,128,29.0992850338
5163,1300,795,483,346,2007-04-25 21:25:25,22,27.9798438079
5183,1300,495,543,340,2008-09-17 12:55:58,221,30.158475645
5360,1300,811,665,533,2007-05-24 23:08:25,183,31.0167137687
5422,1300,41,428,20,2007-02-05 17:58:48,21,30.9069150067
5668,1300,97,399,55,2008-03-30 03:40:08,72,31.6262839356
5696,1300,202,302,63,2008-07-23 05:49:28,48,30.4863605828
5733,1300,497,617,336,2007-12-20 00:35:00,141,32.1189408569
5743,1300,532,570,335,2007-01-22 22:15:36,126,29.9279802705
5822,1300,10,389,4,2008-07-09 13:47:47,1,30.0606053933
6020,1300,111,417,68,2008-05-30 19:44:29,25,33.9177795952
6083,1300,340,590,191,2009-05-02 22:23:08,86,31.870941159
6145,1300,304,587,222,2006-12-22 03:22:39,39,31.4851244276
6153,1300,847,622,479,2007-12-10 18:01:09,289,30.4094978764
6320,1300,30,654,15,2009-07-01 02:17:22,3,31.8448505655
6463,1300,47,386,21,2008-10-10 10:03:44,5,30.0888390826
6480,1300,151,362,53,2007-07-18 01:05:12,33,30.5186241049
6584,1300,79,370,38,2008-11-13 08:50:36,39,29.6451328446
6586,1300,1054,866,746,2008-10-10 08:14:57,733,35.7395796079
6607,1300,38,440,15,2008-10-07 18:25:28,29,30.6463735291
6640,1300,41,366,20,2008-04-19 18:45:41,13,31.9927559197
6692,1300,46,645,22,2007-12-09 11:49:48,4,31.6246209595
6788,1300,494,446,250,2007-04-16 13:53:00,59,28.7076866377
7015,1300,463,558,255,2008-03-28 00:53:33,204,31.0418832628
7077,1300,576,652,395,2008-04-28 18:45:45,47,29.4066341075
7151,1300,597,573,352,2009-06-15 23:17:14,16,29.7162268178
7285,1300,226,525,103,2008-07-18 11:52:05,79,30.5780195629
7469,1300,53,276,25,2009-02-17 20:40:43,5,29.8972536129
7708,1300,212,470,115,2007-11-30 03:12:22,19,29.6579033838
7902,1300,11,452,1,2007-06-21 17:59:58,2,30.3944722208
8211,1300,63,429,31,2008-05-12 09:39:27,33,31.2766111206
8215,1300,182,473,83,2007-06-13 21:28:46,73,30.2958532695
8262,1300,17,538,1,2009-04-24 21:48:02,1,29.9479848818
8395,1300,928,715,583,2007-01-26 04:08:03,119,30.7177794731
8919,1300,161,781,103,2008-10-06 23:12:07,67,33.3742961428
9054,1300,22,354,5,2007-07-29 17:18:29,5,31.3537962047
9175,1300,879,837,685,2007-07-16 21:39:36,533,33.6576322189
9563,1300,47,443,30,2007-12-07 20:28:58,33,28.7658882917
10083,1300,111,431,60,2009-03-20 12:18:39,21,32.3211091185
10277,1300,994,864,756,2007-09-15 09:56:18,489,34.5253791971
10539,1300,82,389,41,2007-05-06 14:45:49,29,32.8934645324
10749,1300,844,767,663,2008-12-14 17:23:59,221,34.6915631203
10752,1300,42,449,16,2008-09-17 01:02:02,2,31.4132397093
10807,1300,403,506,192,2008-05-14 05:59:18,167,28.2588914458
10893,1300,1132,880,837,2007-06-25 03:43:33,546,32.9089069204
10944,1300,597,698,429,2007-03-23 18:50:18,96,26.3116540556
10973,1300,922,572,497,2009-06-23 15:30:02,769,29.6638972697
11107,1300,514,508,296,2008-01-19 01:07:55,355,30.2409584741
11158,1300,163,644,76,2008-05-08 07:55:16,4,22.4266268983
11321,1300,443,525,273,2007-04-12 04:35:13,42,30.1330142089
11544,1300,109,558,48,2008-05-20 22:31:00,69,31.7847913724
11592,1300,129,446,39,2007-11-22 04:06:30,39,29.2283417499
11709,1300,136,300,44,2008-06-28 04:38:57,3,29.132279376
