rn,avg,stddev_pop,count,max,min
1,23.8548770719295,3.3765150390486,13281,37.4662694021,13.5203865872
2,23.9398855737649,4.32426886254849,4687,38.3872832612,11.1198631774
3,24.7675307026812,4.74257589301798,2749,39.4411493837,9.74635174229
4,25.2749035497848,4.60936641040318,2285,40.482320224,10.678701915
5,26.0061422060294,4.38538452153695,1897,39.3704129415,9.37753411859
6,26.2311241969427,4.21326899517908,1821,40.8186629621,9.01147054182
7,26.4425362295528,4.08188055287867,1718,40.2738653129,9.40189583309
8,26.6769593481277,3.94433753125433,1647,40.367337406,9.12681133224
9,26.781493907484,3.88469625124876,1611,40.969506064,9.05900104124
10,26.8416301271256,3.7147576698591,1575,41.5828956962,10.6564281044
11,26.8920209937404,3.66060546984648,1547,41.8282314814,10.2684961317
12,26.9528137747669,3.56096366670386,1507,42.6344856021,9.97094162093
13,26.9792547214532,3.47878492446531,1473,39.4118505723,9.93746743555
14,27.0644680968854,3.41266857942798,1458,39.4762655157,9.90319918464
15,27.1325558454809,3.37132945264468,1429,39.2888937104,8.86887955601
16,27.1368292040791,3.40450716440055,1413,42.0000290954,8.84412848596
17,27.1957254841213,3.36946802240065,1376,40.6303588359,8.82096807793
18,27.197014212158,3.3046431753274,1357,41.2409440957,7.71646047698
19,27.2493209314418,3.24460314168799,1341,41.8926712064,13.6928602079
20,27.2801709418738,3.199250773285,1323,42.6503928441,13.1187274302
21,27.3119865130123,3.19920309248852,1307,43.1028182076,12.7290794844
22,27.3311160229063,3.19013565323551,1287,40.0179572131,11.3611430914
23,27.3612728425582,3.14958558783363,1275,40.2938031148,13.8171658121
24,27.3981946415326,3.13241423023816,1262,39.9318137621,13.7322061125
25,27.4325565643404,3.06736588891782,1248,39.9789751887,13.5997859073
26,27.490295688168,3.06824548985349,1231,40.0015229118,15.8306229441
27,27.530709030872,3.06025050880636,1220,40.3490564573,15.7907644915
28,27.5110716742799,2.9919788818255,1197,40.1260372753,15.7318584347
29,27.5410656330227,3.04701982493145,1179,40.1497354188,13.5920900594
30,27.5738659266752,3.0371412746069,1162,40.2016670981,14.8329999428
31,27.6056795150736,3.01868643982161,1156,40.2419606611,13.5036390225
32,27.6026646727487,2.9928284646715,1137,40.2970086378,14.9292042543
33,27.6154001679709,3.00959377395641,1129,40.3371258362,14.025331067
34,27.6630815006618,2.95751162970819,1110,40.4524415964,15.9708726661
35,27.6608256257919,2.98168315814426,1099,40.4624532209,17.2854264341
36,27.6890192879677,2.93890128445399,1084,40.474530192,16.2883266457
37,27.6961604782329,2.96807575194071,1072,40.4981109093,15.367071757
38,27.7087701754869,3.03218761249966,1061,40.6353007549,15.0830300921
39,27.7598765968603,3.04794708003919,1046,41.0291352718,14.7389559752
40,27.8015899114972,3.01404948757078,1032,41.1884626502,16.4527259617
41,27.8114422435046,3.03447071434431,1021,41.6983352656,15.8059075031
42,27.8078552426778,3.12159739695528,1005,42.3392899768,15.4228953302
43,27.841108288272,3.1841841953858,991,43.3291630789,13.4293810038
44,27.915814571724,3.19933148903126,984,44.7734940277,12.8005741342
45,27.9399467805475,3.16266990428787,973,45.7651546019,11.8736022782
