dif,avg,count
0,0.48326767091541135574,43150
-17,0.08536585365853658537,328
-12,0.11818181818181818182,2090
-28,0.00000000000000000000,6
-1,0.44598244429439567860,44430
-13,0.10185873605947955390,1345
21,0.95121951219512195122,41
-15,0.06626506024096385542,664
-22,0.00000000000000000000,49
5,0.65608207132388861749,10235
-16,0.07954545454545454545,440
-14,0.09498956158663883090,958
-27,0.00000000000000000000,4
-23,0.10000000000000000000,30
-29,0.00000000000000000000,1
-10,0.15165053363117398858,4029
11,0.84559884559884559885,1386
1,0.51321591719257479338,37871
19,0.95798319327731092437,119
-2,0.40967797485793008438,40649
20,0.92857142857142857143,56
23,0.91304347826086956522,23
13,0.86516853932584269663,712
2,0.55180934971734199926,29541
-25,0.00000000000000000000,6
18,0.88805970149253731343,134
25,1.00000000000000000000,13
3,0.58741709653647752395,21712
24,0.95238095238095238095,21
-11,0.12061560486757337151,2794
9,0.78719866999168744805,2406
-18,0.04205607476635514019,214
4,0.61968138737648719500,14877
-8,0.19592134013109978150,8238
-24,0.05263157894736842105,19
-32,0.00000000000000000000,1
28,1.00000000000000000000,2
-3,0.36801126242601850256,34806
-30,0.00000000000000000000,1
16,0.89097744360902255639,266
6,0.69117862909144282988,6813
29,1.00000000000000000000,1
27,1.00000000000000000000,2
-26,0.00000000000000000000,6
22,1.00000000000000000000,47
-5,0.29554578474479067100,20924
-7,0.23114782914396203199,11378
17,0.92777777777777777778,180
-40,0.00000000000000000000,1
-9,0.16982456140350877193,5700
-31,0.00000000000000000000,2
-6,0.25993472835477058936,15627
-21,0.01408450704225352113,71
26,1.00000000000000000000,7
10,0.82359426681367144432,1814
12,0.85034687809712586720,1009
15,0.92191435768261964736,397
-20,0.04255319148936170213,94
7,0.73069679849340866290,4779
8,0.75433871932974266906,3342
-19,0.06206896551724137931,145
-4,0.32824371444301706735,27245
14,0.86575875486381322957,514
